trips,mmsi,time,lat,lon,sog,cog,vessel_type,flag
0.0,316002721.0,2020-04-06 05:42:48,37.6018,-122.6299,9.2,316.2,30.0,Canada
0.0,316002721.0,2020-04-06 08:00:17,37.8587,-122.8962,7.8,313.6,30.0,Canada
0.0,316002721.0,2020-04-06 08:01:48,37.8614,-122.8991,8.5,319.6,30.0,Canada
0.0,316002721.0,2020-04-07 19:29:51,37.8201,-122.8488,8.6,144.5,30.0,Canada
0.0,316002721.0,2020-04-07 21:15:50,37.6012,-122.6846,8.8,145.0,30.0,Canada
1.0,338107922.0,2020-06-28 07:01:28,37.833,-122.8961,8.9,140.7,30.0,United States of America
1.0,338107922.0,2020-06-28 07:52:28,37.7498,-122.8125,6.2,140.4,30.0,United States of America
1.0,338107922.0,2020-06-28 07:54:28,37.7464,-122.8093,9.5,142.3,30.0,United States of America
1.0,338107922.0,2020-06-28 09:06:29,37.6278,-122.7023,6.6,145.8,30.0,United States of America
2.0,338169652.0,2020-06-27 23:16:22,37.601,-122.5704,8.8,356.7,30.0,United States of America
2.0,338169652.0,2020-06-28 00:11:51,37.7291,-122.5813,9.0,22.3,30.0,United States of America
2.0,338169652.0,2020-06-28 00:13:20,37.7327,-122.5798,9.6,22.3,30.0,United States of America
2.0,338169652.0,2020-06-28 01:27:52,37.8103,-122.4208,2.6,215.0,30.0,United States of America
3.0,338171267.0,2020-05-24 20:57:14,37.6002,-122.528,2.5,24.7,30.0,United States of America
3.0,338171267.0,2020-05-24 22:32:43,37.7341,-122.5975,2.5,17.3,30.0,United States of America
3.0,338171267.0,2020-05-24 22:33:44,37.7348,-122.5969,3.9,73.9,30.0,United States of America
3.0,338171267.0,2020-05-25 00:54:41,37.6005,-122.5352,2.4,173.1,30.0,United States of America
3.0,338171267.0,2020-05-25 14:17:38,37.6,-122.5379,9.9,17.3,30.0,United States of America
3.0,338171267.0,2020-05-25 17:09:08,37.7739,-122.7161,2.9,24.3,30.0,United States of America
3.0,338171267.0,2020-05-25 17:10:37,37.7747,-122.7156,1.4,54.3,30.0,United States of America
3.0,338171267.0,2020-05-25 18:01:39,37.7203,-122.5793,9.4,123.6,30.0,United States of America
3.0,338171267.0,2020-05-25 18:03:08,37.7179,-122.5754,10.3,151.2,30.0,United States of America
3.0,338171267.0,2020-05-25 22:01:39,37.608,-122.5303,9.7,177.7,30.0,United States of America
3.0,338171267.0,2020-05-25 22:03:39,37.6023,-122.5301,10.3,193.7,30.0,United States of America
3.0,338171267.0,2020-06-30 18:17:10,37.6051,-122.5272,9.2,205.3,30.0,United States of America
4.0,338178569.0,2020-06-19 19:55:57,37.7847,-122.2671,0.9,127.9,30.0,United States of America
4.0,338178569.0,2020-06-19 21:55:13,37.8712,-122.4264,1.5,303.7,30.0,United States of America
4.0,338178569.0,2020-06-19 21:56:40,37.8712,-122.4271,1.1,332.7,30.0,United States of America
4.0,338178569.0,2020-06-20 02:13:36,37.7847,-122.2672,0.0,280.3,30.0,United States of America
5.0,338181178.0,2020-05-23 16:58:22,37.6359,-122.55,3.9,1.1,30.0,United States of America
5.0,338181178.0,2020-06-14 16:50:22,37.601,-122.8458,3.5,140.5,30.0,United States of America
5.0,338181178.0,2020-06-30 13:59:52,37.9445,-122.8968,8.4,133.3,30.0,United States of America
5.0,338181178.0,2020-06-30 23:25:12,37.6012,-122.5299,7.7,181.8,30.0,United States of America
6.0,338181459.0,2020-04-01 00:02:58,37.8105,-122.4196,0.0,360.0,30.0,United States of America
6.0,338181459.0,2020-04-13 15:00:04,37.8112,-122.4208,5.6,348.1,30.0,United States of America
6.0,338181459.0,2020-04-13 15:01:33,37.8129,-122.4216,10.5,284.5,30.0,United States of America
6.0,338181459.0,2020-04-13 16:07:03,37.7679,-122.6375,9.4,251.0,30.0,United States of America
6.0,338181459.0,2020-04-13 16:08:33,37.7648,-122.64,8.8,188.2,30.0,United States of America
6.0,338181459.0,2020-04-13 17:21:03,37.6027,-122.581,8.5,157.7,30.0,United States of America
7.0,338186925.0,2020-04-26 07:59:33,38.8809,-122.5028,45.3,143.4,30.0,United States of America
7.0,338186925.0,2020-04-26 09:21:01,37.8051,-122.3216,11.8,176.0,30.0,United States of America
7.0,338186925.0,2020-04-26 09:23:03,37.7982,-122.3214,7.8,162.2,30.0,United States of America
7.0,338186925.0,2020-05-09 22:26:17,37.7467,-122.8772,0.0,292.8,30.0,United States of America
7.0,338186925.0,2020-05-15 05:31:32,37.602,-122.8826,10.4,341.7,30.0,United States of America
7.0,338186925.0,2020-06-18 02:59:21,37.6004,-122.3598,6.0,102.5,30.0,United States of America
7.0,338186925.0,2020-06-18 03:00:18,37.6,-122.358,6.0,102.7,30.0,United States of America
7.0,338186925.0,2020-06-27 03:37:56,38.8067,-122.5723,52.3,147.9,30.0,United States of America
7.0,338186925.0,2020-06-27 04:27:57,37.6459,-122.4424,30.1,186.6,30.0,United States of America
7.0,338186925.0,2020-06-28 23:28:14,38.7269,-122.4763,44.3,272.0,30.0,United States of America
8.0,338205971.0,2020-04-01 18:47:06,37.8102,-122.4218,0.0,0.0,30.0,United States of America
8.0,338205971.0,2020-04-05 14:29:55,37.8125,-122.4194,4.6,312.5,30.0,United States of America
8.0,338205971.0,2020-04-07 06:22:50,37.6004,-122.7104,6.9,40.2,30.0,United States of America
8.0,338205971.0,2020-04-07 09:30:17,37.8128,-122.4215,5.5,102.8,30.0,United States of America
8.0,338205971.0,2020-04-07 09:31:47,37.8118,-122.4198,5.8,250.8,30.0,United States of America
