trips,mmsi,time,lat,lon,sog,cog,vessel_type,flag
0.0,316002721.0,2020-04-06 05:42:48,37.6018,-122.6299,9.2,316.2,30.0,Canada
0.0,316002721.0,2020-04-06 08:00:17,37.8587,-122.8962,7.8,313.6,30.0,Canada
0.0,316002721.0,2020-04-06 08:01:48,37.8614,-122.8991,8.5,319.6,30.0,Canada
0.0,316002721.0,2020-04-07 21:15:50,37.6012,-122.6846,8.8,145.0,30.0,Canada
1.0,338107922.0,2020-06-28 07:01:28,37.833,-122.8961,8.9,140.7,30.0,United States of America
1.0,338107922.0,2020-06-28 09:06:29,37.6278,-122.7023,6.6,145.8,30.0,United States of America
2.0,338169652.0,2020-06-27 23:16:22,37.601,-122.5704,8.8,356.7,30.0,United States of America
2.0,338169652.0,2020-06-28 01:27:52,37.8103,-122.4208,2.6,215.0,30.0,United States of America
3.0,338171267.0,2020-05-24 20:57:14,37.6002,-122.528,2.5,24.7,30.0,United States of America
3.0,338171267.0,2020-05-25 00:54:41,37.6005,-122.5352,2.4,173.1,30.0,United States of America
3.0,338171267.0,2020-05-25 14:17:38,37.6,-122.5379,9.9,17.3,30.0,United States of America
3.0,338171267.0,2020-05-25 17:09:08,37.7739,-122.7161,2.9,24.3,30.0,United States of America
3.0,338171267.0,2020-05-25 17:10:37,37.7747,-122.7156,1.4,54.3,30.0,United States of America
3.0,338171267.0,2020-05-25 22:01:39,37.608,-122.5303,9.7,177.7,30.0,United States of America
3.0,338171267.0,2020-05-25 22:03:39,37.6023,-122.5301,10.3,193.7,30.0,United States of America
3.0,338171267.0,2020-06-30 18:17:10,37.6051,-122.5272,9.2,205.3,30.0,United States of America
4.0,338178569.0,2020-06-19 19:55:57,37.7847,-122.2671,0.9,127.9,30.0,United States of America
4.0,338178569.0,2020-06-20 02:13:36,37.7847,-122.2672,0.0,280.3,30.0,United States of America
5.0,338181178.0,2020-05-23 16:58:22,37.6359,-122.55,3.9,1.1,30.0,United States of America
5.0,338181178.0,2020-06-14 16:50:22,37.601,-122.8458,3.5,140.5,30.0,United States of America
5.0,338181178.0,2020-06-30 13:59:52,37.9445,-122.8968,8.4,133.3,30.0,United States of America
5.0,338181178.0,2020-06-30 23:25:12,37.6012,-122.5299,7.7,181.8,30.0,United States of America
6.0,338181459.0,2020-04-01 00:02:58,37.8105,-122.4196,0.0,360.0,30.0,United States of America
6.0,338181459.0,2020-04-13 17:21:03,37.6027,-122.581,8.5,157.7,30.0,United States of America
7.0,338186925.0,2020-04-26 07:59:33,38.8809,-122.5028,45.3,143.4,30.0,United States of America
7.0,338186925.0,2020-06-28 23:28:14,38.7269,-122.4763,44.3,272.0,30.0,United States of America
8.0,338205971.0,2020-04-01 18:47:06,37.8102,-122.4218,0.0,0.0,30.0,United States of America
8.0,338205971.0,2020-04-05 14:29:55,37.8125,-122.4194,4.6,312.5,30.0,United States of America
8.0,338205971.0,2020-04-07 06:22:50,37.6004,-122.7104,6.9,40.2,30.0,United States of America
8.0,338205971.0,2020-04-07 09:30:17,37.8128,-122.4215,5.5,102.8,30.0,United States of America
8.0,338205971.0,2020-04-07 09:31:47,37.8118,-122.4198,5.8,250.8,30.0,United States of America
8.0,338205971.0,2020-04-13 00:45:41,37.8111,-122.4208,5.0,341.7,30.0,United States of America
8.0,338205971.0,2020-04-13 00:47:13,37.8126,-122.4195,6.9,310.5,30.0,United States of America
8.0,338205971.0,2020-04-13 03:05:32,37.6002,-122.6379,8.3,207.9,30.0,United States of America
8.0,338205971.0,2020-04-14 11:05:46,37.6,-122.6804,7.0,28.5,30.0,United States of America
8.0,338205971.0,2020-04-14 13:38:16,37.8145,-122.4336,6.3,95.3,30.0,United States of America
8.0,338205971.0,2020-04-14 13:39:46,37.8142,-122.4303,6.1,94.8,30.0,United States of America
8.0,338205971.0,2020-04-21 00:53:20,37.6018,-122.6353,6.7,18.0,30.0,United States of America
8.0,338205971.0,2020-04-21 03:19:44,37.8139,-122.4283,9.1,99.0,30.0,United States of America
8.0,338205971.0,2020-04-21 03:21:16,37.8132,-122.4235,8.9,99.0,30.0,United States of America
8.0,338205971.0,2020-05-01 13:57:33,37.8117,-122.4204,5.1,65.7,30.0,United States of America
8.0,338205971.0,2020-05-01 13:58:34,37.8127,-122.4198,7.4,284.9,30.0,United States of America
8.0,338205971.0,2020-05-01 16:08:45,37.6034,-122.6082,8.1,208.7,30.0,United States of America
8.0,338205971.0,2020-05-01 16:09:46,37.6013,-122.6091,7.1,201.1,30.0,United States of America
8.0,338205971.0,2020-05-03 06:58:01,37.6024,-122.5691,5.8,13.1,30.0,United States of America
8.0,338205971.0,2020-05-03 09:48:14,37.8119,-122.4345,6.8,86.6,30.0,United States of America
8.0,338205971.0,2020-05-03 09:49:15,37.812,-122.4321,6.7,85.2,30.0,United States of America
8.0,338205971.0,2020-05-18 11:26:43,37.8132,-122.4738,6.5,94.6,30.0,United States of America
9.0,338219451.0,2020-04-06 12:56:17,37.9633,-122.7481,8.6,115.1,30.0,United States of America
9.0,338219451.0,2020-04-06 13:00:17,37.965,-122.7423,4.0,58.8,30.0,United States of America
9.0,338219451.0,2020-04-13 07:23:53,38.6981,-122.6459,0.0,165.9,30.0,United States of America
9.0,338219451.0,2020-04-21 08:10:29,38.5288,-122.8776,11.2,79.0,30.0,United States of America
10.0,338227582.0,2020-06-14 16:02:49,37.6009,-122.8845,2.6,1.2,30.0,United States of America
10.0,338227582.0,2020-06-14 17:05:19,37.6001,-122.8396,2.8,142.3,30.0,United States of America
